City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
do gonbadan,30.3586,50.7981,41.09,93,0,0.0,IR,1640474632
shafranovo,53.9667,54.7667,13.08,86,100,26.84,RU,1640474633
pevek,69.7008,170.3133,-17.19,93,100,5.95,RU,1640474634
husavik,66.0449,-17.3389,26.51,86,100,10.69,IS,1640474635
new norfolk,-42.7826,147.0587,61.92,46,62,3.0,AU,1640474635
georgetown,5.4112,100.3354,78.89,91,20,2.3,MY,1640474636
tuatapere,-46.1333,167.6833,74.82,47,13,9.69,NZ,1640474637
eregli,37.5133,34.0467,30.7,62,4,2.24,TR,1640474638
hun,29.1268,15.9477,55.09,36,26,6.24,LY,1640474638
richards bay,-28.783,32.0377,70.59,83,66,9.78,ZA,1640474639
broken hill,-31.95,141.4333,70.45,34,32,24.58,AU,1640474640
savalou,7.9281,1.9756,83.23,57,28,8.21,BJ,1640474641
new glasgow,45.5834,-62.6486,26.38,77,86,9.55,CA,1640474356
seleron,41.1333,25.0,48.33,76,97,2.98,GR,1640474642
saskylakh,71.9167,114.0833,-29.78,100,51,2.64,RU,1640474643
west richland,46.3043,-119.3614,44.33,61,1,3.44,US,1640474644
atuona,-9.8,-139.0333,78.62,69,9,14.41,PF,1640474541
kapaa,22.0752,-159.319,80.58,68,40,4.0,US,1640474645
mataura,-46.1927,168.8643,74.48,30,6,7.61,NZ,1640474646
airai,-8.9266,125.4092,60.12,96,100,4.97,TL,1640474646
mahebourg,-20.4081,57.7,77.29,83,40,5.75,MU,1640474647
kokoda,-8.8785,147.7407,83.91,72,99,1.36,PG,1640474591
nantucket,41.2835,-70.0995,47.14,94,100,15.68,US,1640474392
ostrovnoy,68.0531,39.5131,17.44,90,100,17.25,RU,1640474649
port alfred,-33.5906,26.891,70.21,88,100,18.84,ZA,1640474649
pouembout,-21.1333,164.9,85.24,64,82,1.77,NC,1640474650
olafsvik,64.8945,-23.7142,31.44,76,98,25.77,IS,1640474651
rikitea,-23.1203,-134.9692,77.23,78,100,21.94,PF,1640474360
hermanus,-34.4187,19.2345,70.9,85,87,14.12,ZA,1640474653
bredasdorp,-34.5322,20.0403,67.28,88,91,10.36,ZA,1640474654
qasigiannguit,68.8193,-51.1922,30.45,68,2,6.33,GL,1640474655
fort nelson,58.8053,-122.7002,-20.61,76,1,2.3,CA,1640474655
port elizabeth,-33.918,25.5701,66.09,94,40,0.0,ZA,1640474656
broome,42.2506,-75.833,47.53,87,90,1.99,US,1640474657
verkhnevilyuysk,63.4453,120.3167,-41.35,100,95,3.0,RU,1640474658
albany,42.6001,-73.9662,39.72,94,100,1.41,US,1640474658
chicama,-7.8447,-79.1469,66.74,71,13,8.01,PE,1640474659
palmer,42.1584,-72.3287,36.46,87,90,0.0,US,1640474660
bluff,-46.6,168.3333,74.8,55,18,9.37,NZ,1640474660
punta arenas,-53.15,-70.9167,62.71,34,0,28.77,CL,1640474661
york,40.1254,-77.0,61.77,92,90,4.61,US,1640474662
gawler,-34.6,138.7333,68.25,53,78,10.76,AU,1640474515
yellowknife,62.456,-114.3525,-4.72,87,90,16.11,CA,1640474460
glenwood springs,39.5505,-107.3248,41.81,73,75,4.14,US,1640474664
hilo,19.7297,-155.09,79.29,46,20,10.36,US,1640474417
abu zabad,12.35,29.25,65.84,21,5,13.89,SD,1640474665
souillac,-20.5167,57.5167,77.38,83,40,5.75,MU,1640474665
namibe,-15.1961,12.1522,68.79,69,32,9.4,AO,1640474726
cape town,-33.9258,18.4232,71.11,75,0,5.01,ZA,1640474500
busselton,-33.65,115.3333,70.09,55,8,14.14,AU,1640474727
hithadhoo,-0.6,73.0833,82.38,71,68,13.87,MV,1640474728
nha trang,12.25,109.1833,75.2,86,66,5.61,VN,1640474694
rossland,49.0831,-117.8022,27.63,89,100,1.99,CA,1640474729
saint-philippe,-21.3585,55.7679,78.39,89,100,0.49,RE,1640474730
tiksi,71.6872,128.8694,-9.44,98,100,6.8,RU,1640474731
lebu,-37.6167,-73.65,59.83,81,0,21.32,CL,1640474732
fairbanks,64.8378,-147.7164,14.22,86,90,0.0,US,1640474732
ushuaia,-54.8,-68.3,56.86,44,40,4.61,AR,1640474733
